,CAS,cSMILES
77,57912-15-9,FC(F)(F)C(F)(F)C(F)(F)C(/C=N/Nc1ccccc1)=N/Nc1ccccc1
78,853929-03-0,COc1cc(CO)c([N+](=O)[O-])cc1OCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
79,340131-92-2,O=C(Nc1ncccn1)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F
80,342889-38-7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCc1cccc(P(c2cccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c2cccc(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)c2)c1
81,68954-01-8,*OC(=O)c1cc(C(=O)O*)c(C(=O)O*)cc1C(=O)O*
82,89987-98-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)SCl
83,94159-86-1,C=COCC(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
84,307-34-6,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
85,34143-74-3,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCS
86,84145-18-6,FC(F)=C(F)OC(F)(F)C(F)(F)C(F)F
87,27607-42-7,OCCNCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
88,928655-42-9,CCCNCCCC(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(OC(F)(F)C(F)(F)C(F)(F)F)C(F)(F)F)C(F)(F)F)C(F)(F)F
89,2043-57-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)CCI
90,94200-57-4,O=P(O)(O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F
91,28285-49-6,O=C(OOC(=O)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl)C(F)(F)C(F)(Cl)C(F)(F)C(F)(Cl)C(F)(F)Cl
92,65104-66-7,C=C(C)C(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
93,94291-78-8,O=P([O-])(OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F.OCC[NH2+]CCO
94,121806-70-0,O=C(Nc1cc(Cl)c(Cl)cc1Cl)C(F)(F)C(F)(F)C(F)(F)F
95,80705-15-3,CC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
96,87112-48-9,C[N+](C)([O-])CCCNC(=O)C(F)(F)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)F
97,375-53-1,O=CC(F)(F)C(F)(F)C(F)(F)C(F)(F)F
98,94190-72-4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)CC[P+](c1ccccc1)(c1ccccc1)c1ccccc1.[I-]
99,93894-74-7,CCCCCCCCC=CCCCCCCCCOC(=O)Nc1cc(NC(=O)OCCN(C)S(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C(F)(F)F)ccc1C
100,885275-98-9,FC(F)(F)OC(F)(F)C(F)(Br)C(F)(F)Br
101,33496-54-7,CCCCCNC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
102,94817-79-5,CCC(C)NCC(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
103,88951-18-2,NC(=O)[C@H]1CC[C@@H](C(F)(F)C(F)(F)C(F)(F)F)CC1
104,306980-27-8,CN(CC1CN(CCCCCCN2CC(CN(C)S(=O)(=O)C(F)(F)C(F)(F)F)OC2=O)C(=O)O1)S(=O)(=O)C(F)(F)C(F)(F)F
105,93417-72-2,OC(CBr)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F
106,4314-42-5,CNC(=O)C(F)(F)C(F)(F)C(F)(F)F
107,125081-35-8,CCCCCCCCCCC(I)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
108,70887-94-4,O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
109,137648-89-6,OCCCC/C(I)=C\C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
110,335-27-3,FC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(C(F)(F)F)C1(F)F
111,1421688-36-9,CO[Si](CCCNC(=O)OCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)(OC)OC
112,871311-25-0,CCCCCCCCCCCCCCCCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F
113,307-43-7,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Br
114,2192-60-1,C[C@]12CC[C@@H]3c4ccc(OC(=O)C(F)(F)C(F)(F)C(F)(F)F)cc4CC[C@H]3[C@@H]1CCC2=O
115,68299-29-6,O=S(=O)([O-])c1ccccc1CNS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.[Na+]
116,627909-24-4,CCOP(=O)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)F)OCC
117,40464-54-8,*C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.*F.FC1OC(F)(F)C(F)(F)C1F
